stationID,longitude,latitude
,degrees_east,degrees_north
BPNBF050000140001_MODELLED,-9.648654,51.50029
BPNBF050000150001_MODELLED,-9.740886,51.45715
BPNBF050000170001_MODELLED,-8.937797,51.53278
BPNBF050000200001_MODELLED,-9.529692,51.50961
BPNBF050000210001_MODELLED,-10.14384,51.61879
BPNBF050000220001_MODELLED,-8.179324,51.78771
BPNBF050000230001_MODELLED,-7.879771,51.90273
BPNBF050000280001_MODELLED,-9.7163,51.56009
BPNBF050000300001_MODELLED,-8.428196,51.68934
BPNBF050000320001_MODELLED,-8.313013,51.73253
BPNBF050000330001_MODELLED,-8.014205,51.8473
BPNBF050000400001_MODELLED,-9.432116,51.47199
BPNBF050000410001_MODELLED,-9.493856,51.44835
BPNBF050000420001_MODELLED,-8.014205,51.8473
BPNBF050000430001_MODELLED,-8.515245,51.6964
BPNBF050000440001_MODELLED,-9.493856,51.44835
BPNBF050000450001_MODELLED,-8.520165,51.67723
BPNBF050000460002_MODELLED,-9.700343,51.57051
BPNBF050000480001_MODELLED,-8.26677,51.79446
BPNBF070000020002_MODELLED,-6.197546,53.32151
BPNBF070000040003_MODELLED,-6.175974,53.35061
BPNBF120000060002_MODELLED,-10.10096,53.48904
BPNBF120000140001_MODELLED,-9.969838,53.37181
BPNBF120000150001_MODELLED,-10.16523,53.61079
BPNBF120000160001_MODELLED,-10.17748,53.63897
BPNBF120000180001_MODELLED,-9.643589,53.22956
BPNBF120000190001_MODELLED,-10.1038,53.4692
BPNBF120000210001_MODELLED,-9.886481,53.62301
BPNBF120000220001_MODELLED,-9.985229,53.61538
BPNBF120000230001_MODELLED,-10.17665,53.53183
BPNBF120000240001_MODELLED,-9.501171,53.06179
BPNBF120000260001_MODELLED,-9.577003,53.23476
BPNBF130000160001_MODELLED,-10.39019,52.19735
BPNBF130000170001_MODELLED,-9.872678,52.25205
BPNBF130000190001_MODELLED,-9.584483,52.58442
BPNBF130000200001_MODELLED,-10.19511,51.82253
BPNBF130000210001_MODELLED,-9.938033,52.09938
BPNBF130000220001_MODELLED,-10.22484,51.84
BPNBF220000110002_MODELLED,-9.901635,53.63155
BPNBF220000170001_MODELLED,-9.814547,53.3052
BPNBF220000190001_MODELLED,-9.962481,54.16053
BPNBF220000200001_MODELLED,-10.06385,54.11549
BPNBF220000210001_MODELLED,-9.929332,53.66819
BPNBF220000260001_MODELLED,-10.08826,53.69455
